species_id,canonical_name,common_name,family,genus
ophryacus_sphenophrys,ophryacus sphenophrys,ophryacus sphenophrys,Unknown,ophryacus
ophryacus_undulatus,ophryacus undulatus,ophryacus undulatus,Unknown,ophryacus
ovophis_convictus,ovophis convictus,ovophis convictus,Unknown,ovophis
ovophis_makazayazaya,ovophis makazayazaya,ovophis makazayazaya,Unknown,ovophis
ovophis_monticola,ovophis monticola,ovophis monticola,Unknown,ovophis
